Usuario,Id Usuario,Numero seguidores,Numero seguidos,descripción del perfil,Texto,Id Tweet,Likes,Retweets,Fecha,Tipo,Localizacion,Objetivo,Fuente,Usuario original
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Nuestra compañera @bgdelamora coordina este despliegue especial de texto y fotos sobre la guerra de Ucrania, que resume con precisión los sucesos más relevantes en el frente y en la retaguardia desde que Rusia lanzó la invasión en febrero pasado.   https://t.co/5JdpmF4y4I",1606628715395485696,2,2,2022-12-24 12:31:50+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","RT @RafaJulve: 10 meses de guerra: Ucrania se congela bajo el martilleo de Putin. Un resumen con textos de @bgdelamora, infografías de @nau…",1606561948774322176,0,5,2022-12-24 08:06:31+00:00,Retweet,Sin ubicación,Sin target,Twitter Web App,RafaJulve
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @ramonlobo: Me alegro mucho de que ⁦@mrsahuquillo⁩ regrese a Ucrania dónde ha hecho un trabajo extraordinario desde antes de la invasión…,1606408732740657170,0,10,2022-12-23 21:57:42+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,ramonlobo
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Ha tardado 300 días en pronunciar la palabra maldita. Pero finalmente, en un discurso, Putin ha llamado ""guerra"" al conflicto de Ucrania. Aquí intentamos discernir si el gesto acarrea cambio en la narrativa del Kremlin sobre la invasión. @elperiodico https://t.co/gpKvUmrSEz",1606384708564111360,9,4,2022-12-23 20:22:14+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Sin provisiones, abandonados a su suerte, y bajo amenaza de ser ejecutados en caso de retirarse. Estos son los nuevos audios de soldados rusos en Ucrania que publica ⁦@guardian⁩  https://t.co/hgf7g4ggRM",1605553357870944256,7,7,2022-12-21 13:18:44+00:00,Tweet,Sin ubicación,Sin target,Twitter for iPhone,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Arriba, Moscú 2022. Abajo, Berlín 1940. Sobran las palabras. https://t.co/zoteyaLxAK",1605257727042789386,24,11,2022-12-20 17:44:01+00:00,Tweet,Sin ubicación,Sin target,Twitter for iPhone,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Desde la ciudad de Jersón, @FerminTorrano relata para  @elperiodico el regreso de los ucranianos a la ciudad junto al río Dniéper que los rusos tomaron en los primeros días de la guerra. https://t.co/rpKFHPDCIi",1604198277024743424,23,3,2022-12-17 19:34:08+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Entrevista de Orlando Figes, historiador, a @juanolula: ""La guerra de Ucrania durará varios años"" @elperiodico https://t.co/zjIU0jvWLO",1604038405809229825,4,0,2022-12-17 08:58:52+00:00,Tweet,Sin ubicación,Sin target,Twitter for iPhone,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @manuelrico: Hoy hace 1.003 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulner…,1604010400408039424,0,5283,2022-12-17 07:07:35+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,manuelrico
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","RT @OjerAlonsoJavi: Periodismo en tiempos de guerra, con el periodista Marc Marginedas, invitado por la @PeriodistasFSC
#PeriodistasCCOO_Ba…",1603830880291651599,0,10,2022-12-16 19:14:14+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,OjerAlonsoJavi
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @manuelrico: Hoy hace 1.002 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulner…,1603538743717142529,0,5673,2022-12-15 23:53:23+00:00,Retweet,Sin ubicación,Sin target,Twitter Web App,manuelrico
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","""La Madre Patria acogerá a los que colaboran en su bien"" @JJFernandezint de @elperiodico obtiene acceso a las instrucciones de la embajada de Rusia en España a los rusos en nuestro país para mantener prietas las filas y frenar toda crítica antiguerra.   https://t.co/PoR82KeAaI",1603366349555777537,11,4,2022-12-15 12:28:21+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",Criminales convictos en Occidente; líderes políticos de alto nivel cuando regresan a Rusia. Éste es el recorrido de los ciudadanos rusos encarcelados en EEUU y Europa por espionaje o actividades delictivas como el comercio de armas. Sigue. @elperiodico https://t.co/9EiNE0NYq6,1603047597937397760,9,3,2022-12-14 15:21:45+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","RT @Jglez360: Tv local rusa borra entrevista a ruso rendido en Járkov intercambiado

-era poli y le prometieron pensión buena x 4 meses en…",1602931519261184002,0,14,2022-12-14 07:40:29+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,Jglez360
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","RT @joseramonpatter: Hay que poner cara a las víctimas. Este es Majid Reza Rahnavard, de 23 años, condenado a muerte sin garantías judicial…",1602930914933219329,0,4269,2022-12-14 07:38:05+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,joseramonpatter
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @manuelrico: Hoy hace 1.000 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulner…,1602727490723762176,0,9361,2022-12-13 18:09:45+00:00,Retweet,Sin ubicación,Sin target,Twitter Web App,manuelrico
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","RT @fueguitosalamar: Esta tarde, a las 6, en #MarDeFueguitos, charlamos con la escritora Celia Santos sobre ""La niña de Rusia"", novela en l…",1602625543098220546,0,5,2022-12-13 11:24:39+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,fueguitosalamar
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Excelente hilo sobre el nuevo plan militar ruso en Ucrania bajo el mando de Serguéi Surovikin. @MassDara cree que Moscú empieza a afrontar la guerra de forma realista, fortaleciendo la defensa y atacando infraestructura vital para Ucrania para desmoralizar a los civiles. https://t.co/eZZtMzm7RP",1601993074850283522,7,5,2022-12-11 17:31:27+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @manuelrico: Hoy hace 998 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulnerab…,1601990107636305921,0,5093,2022-12-11 17:19:39+00:00,Retweet,Sin ubicación,Sin target,Twitter Web App,manuelrico
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","RT @javierbauluz: momento en q la madre del manifestante iraní Mohsen Shekari, 23 años, se entera de q lo han ahorcado por ""hacer guerra co…",1601917747956432897,0,60,2022-12-11 12:32:07+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,javierbauluz
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Ucrania critica la ""pasividad"" del Comité Internacional de la Cruz Roja @ICRC ante la falta de acceso a los presos ucranianos en manos rusas @elperiodico https://t.co/6TJpH5dIYJ",1601653139710496768,2,4,2022-12-10 19:00:40+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","El destino de Ucrania se juega no solo en la línea de frente, sino en las ciudades sin electricidad ni calefacción, lo que se denomina como la 'segunda línea de frente'. Este es el estreno de @FerminTorrano como colaborador desde Ucrania para @elperiodico https://t.co/a7dbIVWFts",1601606919957139457,20,4,2022-12-10 15:57:00+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @manuelrico: Hoy hace 996 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulnerab…,1601384041215045632,0,4882,2022-12-10 01:11:22+00:00,Retweet,Sin ubicación,Sin target,Twitter Web App,manuelrico
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Una vez más, nuestra compañera @Irenls_ demuestra que no hay nadie como ella a la hora de conseguir entrevistas de alto nivel. https://t.co/f636IfxNSi",1601384012961918976,3,3,2022-12-10 01:11:15+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @laupuigpasamon: La guerra de Ucrania ha amordazado aún más a la sociedad rusa con normas más duras contra los derechos y libertades. La…,1601201028808212481,0,2,2022-12-09 13:04:08+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,laupuigpasamon
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","RT @majimeno: Acabó hace nada en @fcomunav y ha peleado y pelea cada día su sueño periodístico. De nuevo, podemos leer a @PabloMgal en @lav…",1601195007314042880,0,9,2022-12-09 12:40:13+00:00,Retweet,Sin ubicación,Sin target,Twitter Web App,majimeno
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @GMartinezIb: Vidas truncadas por la guerra de Putin. @marcmarginedas en estado puro @elperiodico https://t.co/iPYHFO7OtD,1601191789519851520,0,3,2022-12-09 12:27:25+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,GMartinezIb
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Arabia Saudí fue, durante mucho tiempo, un aliado de Occidente y un suministrador de energía. En estos tiempos de guerra, en cambio, se ha aliado con el Kremlin para mantener elevados los precios del crudo y cooperar en la penuria energética en la UE.  https://t.co/rqw6WFTaiI",1600759096185159681,26,9,2022-12-08 07:48:03+00:00,Tweet,Sin ubicación,Sin target,Twitter for iPhone,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",La cadena Al Jazeera acudirá a la justicia internacional contra Israel sobre el asesinato de la periodista palestina Shirin Abu Aqleh.  @elperiodico https://t.co/xpm0eNvtlb,1600173320502009857,3,0,2022-12-06 17:00:24+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Mafiosos, servicios secretos, bandidos chechenas o grupo Wagner llevan 3 décadas enviando partes de animales a voces críticas en Rusia. El mensaje al destinatario es claro: “deja de hacer lo que hacer, eres objetivo”. Con análisis de ⁦@OlgaNYC1211⁩  https://t.co/H3w5j1TXZa",1600049546108833792,5,0,2022-12-06 08:48:33+00:00,Tweet,Sin ubicación,Sin target,Twitter for iPhone,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Nuestro compañero ⁦@JJFernandezint⁩ revela los pormenores de la pugna entre Occidente y Rusia por influir en Serbia, un pais balcánico que se puede calificar de ‘estado tapon’que se ha declarado neutral y no es miembro ni de la UE ni de la OTAN.  https://t.co/LcsmJiuPWY",1599523667670536192,5,3,2022-12-04 21:58:54+00:00,Tweet,Sin ubicación,Sin target,Twitter for iPhone,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",Rusia y los cónsules honorarios: Cómo convertir un cargo diplomático ideado para promover vínculos entre dos países en un agresivo agente de influencia al servicio del Kremlin mas expansionista. Por @mirdf y @jgalbalat @elperiodico https://t.co/Kqu4bpXuTF,1599427902306537473,4,2,2022-12-04 15:38:22+00:00,Tweet,Sin ubicación,Sin target,Twitter for iPhone,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Brillante. @PedroRodriguezW está que se sale con este artículo sobre el desastroso año que han vivido las autocracias del mundo, jaleadas en muchos casos desde sectores de la derecha y la izquierda en las democracias occidentales.  https://t.co/PmXhCpnU9u a través de @ABC_Mundo",1599353415871537153,17,7,2022-12-04 10:42:23+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Segunda entrevista de alto nivel de nuestra compañera @Irenls_ para @elperiodico. En esta ocasión a Rafael Grossi, jefe del OIEA y encargado de conjurar el peligro de un desastre nuclear en la central de Zaporiyia. ¡De nuevo felicidades!  @elperiodico https://t.co/rU0Rj4AX1n",1599096005634367489,15,8,2022-12-03 17:39:32+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","RT @CNNEE: Al bombardear la red eléctrica de Ucrania, destinada a sostener a los civiles durante los meses oscuros y fríos, Vladimir Putin…",1598957919264907264,0,87,2022-12-03 08:30:49+00:00,Retweet,Sin ubicación,Sin target,Twitter Web App,CNNEE
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @javierespinosa2: Más de 400 rusos buscan protección en España: “No quiero formar parte de este crimen contra #Ucrania” https://t.co/EMz…,1598954559636115459,0,7,2022-12-03 08:17:28+00:00,Retweet,Sin ubicación,Sin target,Twitter Web App,javierespinosa2
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @manuelrico: Hoy hace 989 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulnerab…,1598712018764185600,0,6137,2022-12-02 16:13:42+00:00,Retweet,Sin ubicación,Sin target,Twitter Web App,manuelrico
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @manuelrico: La Fiscalía de Madrid basa su 'no investigación' de las muertes en residencias en mentiras y omisiones: https://t.co/ihcNvV…,1598683893464432640,0,820,2022-12-02 14:21:56+00:00,Retweet,Sin ubicación,Sin target,Twitter Web App,manuelrico
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Nuestra compañera @Irenls_ ha logrado entrevistar a la persona de máxima confianza del presidente ucraniano, Volodímir Zelenski. ¡Felicidades por la exclusiva!  @elperiodico https://t.co/Kkc2bmTa8i",1598683720969379840,4,0,2022-12-02 14:21:15+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @Jglez360: Edward Snowden ha prestado juramento y ya tiene el pasaporte ruso https://t.co/9KrODfWPxX,1598682518231957505,0,1,2022-12-02 14:16:29+00:00,Retweet,Sin ubicación,Sin target,Twitter Web App,Jglez360
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @Jglez360: La directora de Russia Today afirma que ha hecho lobby en las altas esferas del Gobierno para que los periodistas rusos indep…,1598204670463598592,0,75,2022-12-01 06:37:41+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,Jglez360
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @manuelrico: Hoy hace 987 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulnerab…,1597897733842808833,0,5105,2022-11-30 10:18:01+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,manuelrico
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","Monográfico de la Revista Nuestro Tiempo, de la universidad de Navarra @fcomunav dedicado a la guerra de Ucrania. Con artículos de @FerminTorrano y servidor, entre otros. https://t.co/ipSYUPnzde",1597889848605429761,18,5,2022-11-30 09:46:41+00:00,Tweet,Sin ubicación,Sin target,Twitter for iPhone,marcmarginedas
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","RT @NTunav: (Redoble de tambor) ¡Ya está aquí Nuestro Tiempo 715! ¿Qué os parece la portada? Como veis, este número es casi un monográfico…",1597889341833228289,0,18,2022-11-30 09:44:41+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,NTunav
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe","RT @marcbassets: Otro domingo con Javier del Pino en @avivir durante la ausencia de @ramonlobo 
Hemos hablado de los restos de Potemkin y d…",1596885899341885440,0,9,2022-11-27 15:17:21+00:00,Retweet,Sin ubicación,Sin target,Twitter Web App,marcbassets
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",RT @manuelrico: Hoy hace 984 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulnerab…,1596831552482074625,0,5602,2022-11-27 11:41:24+00:00,Retweet,Sin ubicación,Sin target,Twitter for iPhone,manuelrico
marcmarginedas,131216225,20769,1712,"Fui corresponsal de El Periodico en Moscu, y seguiré en otros lugares. Estudié Periodismo y Relaciones Internacionales. Adoro viajar por la exURSS y mundo árabe",¿Es Rusia un Estado terrorista? ¿Cuáles serían las consecuencias de que la Federación Rusa acabe siendo incluida por EEUU en la lista de países patrocinadores del terrorismo? Lo cuenta en @ElPeriodico_Esp y en @elperiodico el compañero @MarioSaavedra https://t.co/rcjnHlFIuR,1596787068663103488,7,2,2022-11-27 08:44:38+00:00,Tweet,Sin ubicación,Sin target,Twitter Web App,marcmarginedas
